Schooljaar;Niveau regio;Regio;Soort hoger onderwijs;Opleidingssector;Aantal
2018/2019;Provincie;Drenthe;HBO;Economie;3442.00
2018/2019;Provincie;Drenthe;HBO;Gedrag en maatschappij;1225.00
2018/2019;Provincie;Drenthe;HBO;Gezondheidszorg;1298.00
2018/2019;Provincie;Drenthe;HBO;Landbouw en natuurlijke omgeving;285.00
2018/2019;Provincie;Drenthe;HBO;Onderwijs;1581.00
2018/2019;Provincie;Drenthe;HBO;Sectoroverstijgend;5.00
2018/2019;Provincie;Drenthe;HBO;Taal en cultuur;93.00
2018/2019;Provincie;Drenthe;HBO;Techniek;2049.00
2018/2019;Provincie;Drenthe;HBO;Totaal energietransitie;2049.00
2018/2019;Provincie;Drenthe;WO;Totaal;2067.00
2018/2019;Provincie;Drenthe;WO;Economie;339.00
2018/2019;Provincie;Drenthe;WO;Gedrag en maatschappij;342.00
2018/2019;Provincie;Drenthe;WO;Gezondheidszorg;175.00
2018/2019;Provincie;Drenthe;WO;Landbouw en natuurlijke omgeving;38.00
2018/2019;Provincie;Drenthe;WO;Natuur;341.00
2018/2019;Provincie;Drenthe;WO;Onderwijs;28.00
2018/2019;Provincie;Drenthe;WO;Recht;291.00
2018/2019;Provincie;Drenthe;WO;Sectoroverstijgend;18.00
2018/2019;Provincie;Drenthe;WO;Taal en cultuur;341.00
2018/2019;Provincie;Drenthe;WO;Techniek;154.00
2018/2019;Provincie;Drenthe;WO;Totaal energietransitie;495.00
2018/2019;Provincie;Flevoland;Totaal;Totaal;13183.00
2018/2019;Provincie;Flevoland;Totaal;Economie;4056.00
2018/2019;Provincie;Flevoland;Totaal;Gedrag en maatschappij;1817.00
2018/2019;Provincie;Flevoland;Totaal;Gezondheidszorg;1344.00
2018/2019;Provincie;Flevoland;Totaal;Landbouw en natuurlijke omgeving;1051.00
2018/2019;Provincie;Flevoland;Totaal;Natuur;438.00
2018/2019;Provincie;Flevoland;Totaal;Onderwijs;1439.00
2018/2019;Provincie;Flevoland;Totaal;Recht;392.00
2018/2019;Provincie;Flevoland;Totaal;Sectoroverstijgend;53.00
2018/2019;Provincie;Flevoland;Totaal;Taal en cultuur;420.00
2018/2019;Provincie;Flevoland;Totaal;Techniek;2173.00
2018/2019;Provincie;Flevoland;Totaal;Totaal energietransitie;2611.00
2018/2019;Provincie;Flevoland;HBO;Totaal;10498.00
2018/2019;Provincie;Flevoland;HBO;Economie;3638.00
2018/2019;Provincie;Flevoland;HBO;Gedrag en maatschappij;1272.00
2018/2019;Provincie;Flevoland;HBO;Gezondheidszorg;1019.00
2018/2019;Provincie;Flevoland;HBO;Landbouw en natuurlijke omgeving;982.00
2018/2019;Provincie;Flevoland;HBO;Onderwijs;1420.00
2018/2019;Provincie;Flevoland;HBO;Sectoroverstijgend;6.00
2018/2019;Provincie;Flevoland;HBO;Taal en cultuur;140.00
2018/2019;Provincie;Flevoland;HBO;Techniek;2021.00
2018/2019;Provincie;Flevoland;HBO;Totaal energietransitie;2021.00
2018/2019;Provincie;Flevoland;WO;Totaal;2685.00
2018/2019;Provincie;Flevoland;WO;Economie;418.00
2018/2019;Provincie;Flevoland;WO;Gedrag en maatschappij;545.00
2018/2019;Provincie;Flevoland;WO;Gezondheidszorg;325.00
2018/2019;Provincie;Flevoland;WO;Landbouw en natuurlijke omgeving;69.00
2018/2019;Provincie;Flevoland;WO;Natuur;438.00
2018/2019;Provincie;Flevoland;WO;Onderwijs;19.00
2018/2019;Provincie;Flevoland;WO;Recht;392.00
2018/2019;Provincie;Flevoland;WO;Sectoroverstijgend;47.00
2018/2019;Provincie;Flevoland;WO;Taal en cultuur;280.00
2018/2019;Provincie;Flevoland;WO;Techniek;152.00
2018/2019;Provincie;Flevoland;WO;Totaal energietransitie;590.00
2018/2019;Provincie;Fryslân;Totaal;Totaal;22074.00
2018/2019;Provincie;Fryslân;Totaal;Economie;7524.00
2018/2019;Provincie;Fryslân;Totaal;Gedrag en maatschappij;2682.00
2018/2019;Provincie;Fryslân;Totaal;Gezondheidszorg;2130.00
2018/2019;Provincie;Fryslân;Totaal;Landbouw en natuurlijke omgeving;1390.00
2018/2019;Provincie;Fryslân;Totaal;Natuur;342.00
2018/2019;Provincie;Fryslân;Totaal;Onderwijs;2987.00
2018/2019;Provincie;Fryslân;Totaal;Recht;439.00
2018/2019;Provincie;Fryslân;Totaal;Sectoroverstijgend;42.00
2018/2019;Provincie;Fryslân;Totaal;Taal en cultuur;693.00
2018/2019;Provincie;Fryslân;Totaal;Techniek;3845.00
2018/2019;Provincie;Fryslân;Totaal;Totaal energietransitie;4187.00
2018/2019;Provincie;Fryslân;HBO;Totaal;19329.00
2018/2019;Provincie;Fryslân;HBO;Economie;7036.00
2018/2019;Provincie;Fryslân;HBO;Gedrag en maatschappij;2279.00
2018/2019;Provincie;Fryslân;HBO;Gezondheidszorg;1865.00
2018/2019;Provincie;Fryslân;HBO;Landbouw en natuurlijke omgeving;1335.00
2018/2019;Provincie;Fryslân;HBO;Onderwijs;2964.00
2018/2019;Provincie;Fryslân;HBO;Sectoroverstijgend;6.00
2018/2019;Provincie;Fryslân;HBO;Taal en cultuur;201.00
2018/2019;Provincie;Fryslân;HBO;Techniek;3643.00
2018/2019;Provincie;Fryslân;HBO;Totaal energietransitie;3643.00
2018/2019;Provincie;Fryslân;WO;Totaal;2745.00
2018/2019;Provincie;Fryslân;WO;Economie;488.00
2018/2019;Provincie;Fryslân;WO;Gedrag en maatschappij;403.00
2018/2019;Provincie;Fryslân;WO;Gezondheidszorg;265.00
2018/2019;Provincie;Fryslân;WO;Landbouw en natuurlijke omgeving;55.00
2018/2019;Provincie;Fryslân;WO;Natuur;342.00
2018/2019;Provincie;Fryslân;WO;Onderwijs;23.00
2018/2019;Provincie;Fryslân;WO;Recht;439.00
2018/2019;Provincie;Fryslân;WO;Sectoroverstijgend;36.00
2018/2019;Provincie;Fryslân;WO;Taal en cultuur;492.00
2018/2019;Provincie;Fryslân;WO;Techniek;202.00
2018/2019;Provincie;Fryslân;WO;Totaal energietransitie;544.00
2018/2019;Provincie;Gelderland;Totaal;Totaal;83402.00
2018/2019;Provincie;Gelderland;Totaal;Economie;20300.00
2018/2019;Provincie;Gelderland;Totaal;Gedrag en maatschappij;12087.00
2018/2019;Provincie;Gelderland;Totaal;Gezondheidszorg;9943.00
2018/2019;Provincie;Gelderland;Totaal;Landbouw en natuurlijke omgeving;10219.00
2018/2019;Provincie;Gelderland;Totaal;Natuur;3629.00
2018/2019;Provincie;Gelderland;Totaal;Onderwijs;8072.00
2018/2019;Provincie;Gelderland;Totaal;Recht;2945.00
2018/2019;Provincie;Gelderland;Totaal;Sectoroverstijgend;285.00
2018/2019;Provincie;Gelderland;Totaal;Taal en cultuur;4190.00
2018/2019;Provincie;Gelderland;Totaal;Techniek;11732.00
2018/2019;Provincie;Gelderland;Totaal;Totaal energietransitie;15361.00
2018/2019;Provincie;Gelderland;HBO;Totaal;52499.00
2018/2019;Provincie;Gelderland;HBO;Economie;17433.00
2018/2019;Provincie;Gelderland;HBO;Gedrag en maatschappij;7259.00
2018/2019;Provincie;Gelderland;HBO;Gezondheidszorg;6429.00
2018/2019;Provincie;Gelderland;HBO;Landbouw en natuurlijke omgeving;1902.00
2018/2019;Provincie;Gelderland;HBO;Onderwijs;7874.00
2018/2019;Provincie;Gelderland;HBO;Sectoroverstijgend;21.00
2018/2019;Provincie;Gelderland;HBO;Taal en cultuur;1231.00
2018/2019;Provincie;Gelderland;HBO;Techniek;10350.00
2018/2019;Provincie;Gelderland;HBO;Totaal energietransitie;10350.00
2018/2019;Provincie;Gelderland;WO;Totaal;30903.00
2018/2019;Provincie;Gelderland;WO;Economie;2867.00
2018/2019;Provincie;Gelderland;WO;Gedrag en maatschappij;4828.00
2018/2019;Provincie;Gelderland;WO;Gezondheidszorg;3514.00
2018/2019;Provincie;Gelderland;WO;Landbouw en natuurlijke omgeving;8317.00
2018/2019;Provincie;Gelderland;WO;Natuur;3629.00
2018/2019;Provincie;Gelderland;WO;Onderwijs;198.00
2018/2019;Provincie;Gelderland;WO;Recht;2945.00
2018/2019;Provincie;Gelderland;WO;Sectoroverstijgend;264.00
2018/2019;Provincie;Gelderland;WO;Taal en cultuur;2959.00
2018/2019;Provincie;Gelderland;WO;Techniek;1382.00
2018/2019;Provincie;Gelderland;WO;Totaal energietransitie;5011.00
2018/2019;Provincie;Groningen;Totaal;Totaal;41837.00
2018/2019;Provincie;Groningen;Totaal;Economie;11915.00
2018/2019;Provincie;Groningen;Totaal;Gedrag en maatschappij;5632.00
2018/2019;Provincie;Groningen;Totaal;Gezondheidszorg;5962.00
2018/2019;Provincie;Groningen;Totaal;Landbouw en natuurlijke omgeving;394.00
2018/2019;Provincie;Groningen;Totaal;Natuur;3355.00
2018/2019;Provincie;Groningen;Totaal;Onderwijs;2706.00
2018/2019;Provincie;Groningen;Totaal;Recht;2285.00
2018/2019;Provincie;Groningen;Totaal;Sectoroverstijgend;179.00
2018/2019;Provincie;Groningen;Totaal;Taal en cultuur;4171.00
2018/2019;Provincie;Groningen;Totaal;Techniek;5238.00
2018/2019;Provincie;Groningen;Totaal;Totaal energietransitie;8593.00
2018/2019;Provincie;Groningen;HBO;Totaal;21674.00
2018/2019;Provincie;Groningen;HBO;Economie;7817.00
2018/2019;Provincie;Groningen;HBO;Gedrag en maatschappij;2718.00
2018/2019;Provincie;Groningen;HBO;Gezondheidszorg;3225.00
2018/2019;Provincie;Groningen;HBO;Landbouw en natuurlijke omgeving;355.00
2018/2019;Provincie;Groningen;HBO;Onderwijs;2551.00
2018/2019;Provincie;Groningen;HBO;Sectoroverstijgend;6.00
2018/2019;Provincie;Groningen;HBO;Taal en cultuur;774.00
2018/2019;Provincie;Groningen;HBO;Techniek;4228.00
2018/2019;Provincie;Groningen;HBO;Totaal energietransitie;4228.00
2018/2019;Provincie;Groningen;WO;Totaal;20163.00
2018/2019;Provincie;Groningen;WO;Economie;4098.00
2018/2019;Provincie;Groningen;WO;Gedrag en maatschappij;2914.00
2018/2019;Provincie;Groningen;WO;Gezondheidszorg;2737.00
2018/2019;Provincie;Groningen;WO;Landbouw en natuurlijke omgeving;39.00
2018/2019;Provincie;Groningen;WO;Natuur;3355.00
2018/2019;Provincie;Groningen;WO;Onderwijs;155.00
2018/2019;Provincie;Groningen;WO;Recht;2285.00
2018/2019;Provincie;Groningen;WO;Sectoroverstijgend;173.00
2018/2019;Provincie;Groningen;WO;Taal en cultuur;3397.00
2018/2019;Provincie;Groningen;WO;Techniek;1010.00
2018/2019;Provincie;Groningen;WO;Totaal energietransitie;4365.00
2018/2019;Provincie;Limburg;Totaal;Totaal;37290.00
2018/2019;Provincie;Limburg;Totaal;Economie;11248.00
2018/2019;Provincie;Limburg;Totaal;Gedrag en maatschappij;4277.00
2018/2019;Provincie;Limburg;Totaal;Gezondheidszorg;7012.00
2018/2019;Provincie;Limburg;Totaal;Landbouw en natuurlijke omgeving;791.00
2018/2019;Provincie;Limburg;Totaal;Natuur;678.00
2018/2019;Provincie;Limburg;Totaal;Onderwijs;2755.00
2018/2019;Provincie;Limburg;Totaal;Recht;1883.00
2018/2019;Provincie;Limburg;Totaal;Sectoroverstijgend;597.00
2018/2019;Provincie;Limburg;Totaal;Taal en cultuur;1544.00
2018/2019;Provincie;Limburg;Totaal;Techniek;6505.00
2018/2019;Provincie;Limburg;Totaal;Totaal energietransitie;7183.00
2018/2019;Provincie;Limburg;HBO;Totaal;24679.00
2018/2019;Provincie;Limburg;HBO;Economie;9106.00
2018/2019;Provincie;Limburg;HBO;Gedrag en maatschappij;2705.00
2018/2019;Provincie;Limburg;HBO;Gezondheidszorg;3263.00
2018/2019;Provincie;Limburg;HBO;Landbouw en natuurlijke omgeving;632.00
2018/2019;Provincie;Limburg;HBO;Onderwijs;2718.00
2018/2019;Provincie;Limburg;HBO;Sectoroverstijgend;1.00
2018/2019;Provincie;Limburg;HBO;Taal en cultuur;939.00
2018/2019;Provincie;Limburg;HBO;Techniek;5315.00
2018/2019;Provincie;Limburg;HBO;Totaal energietransitie;5315.00
2018/2019;Provincie;Limburg;WO;Totaal;12611.00
2018/2019;Provincie;Limburg;WO;Economie;2142.00
2018/2019;Provincie;Limburg;WO;Gedrag en maatschappij;1572.00
2018/2019;Provincie;Limburg;WO;Gezondheidszorg;3749.00
2018/2019;Provincie;Limburg;WO;Landbouw en natuurlijke omgeving;159.00
2018/2019;Provincie;Limburg;WO;Natuur;678.00
2018/2019;Provincie;Limburg;WO;Onderwijs;37.00
2018/2019;Provincie;Limburg;WO;Recht;1883.00
2018/2019;Provincie;Limburg;WO;Sectoroverstijgend;596.00
2018/2019;Provincie;Limburg;WO;Taal en cultuur;605.00
2018/2019;Provincie;Limburg;WO;Techniek;1190.00
2018/2019;Provincie;Limburg;WO;Totaal energietransitie;1868.00
2018/2019;Provincie;Noord-Brabant;Totaal;Totaal;98123.00
2018/2019;Provincie;Noord-Brabant;Totaal;Economie;32519.00
2018/2019;Provincie;Noord-Brabant;Totaal;Gedrag en maatschappij;11684.00
2018/2019;Provincie;Noord-Brabant;Totaal;Gezondheidszorg;8555.00
2018/2019;Provincie;Noord-Brabant;Totaal;Landbouw en natuurlijke omgeving;2845.00
2018/2019;Provincie;Noord-Brabant;Totaal;Natuur;1247.00
2018/2019;Provincie;Noord-Brabant;Totaal;Onderwijs;8063.00
2018/2019;Provincie;Noord-Brabant;Totaal;Recht;3050.00
2018/2019;Provincie;Noord-Brabant;Totaal;Sectoroverstijgend;559.00
2018/2019;Provincie;Noord-Brabant;Totaal;Taal en cultuur;4299.00
2018/2019;Provincie;Noord-Brabant;Totaal;Techniek;25302.00
2018/2019;Provincie;Noord-Brabant;Totaal;Totaal energietransitie;26549.00
2018/2019;Provincie;Noord-Brabant;HBO;Totaal;69147.00
2018/2019;Provincie;Noord-Brabant;HBO;Economie;26749.00
2018/2019;Provincie;Noord-Brabant;HBO;Gedrag en maatschappij;7260.00
2018/2019;Provincie;Noord-Brabant;HBO;Gezondheidszorg;6775.00
2018/2019;Provincie;Noord-Brabant;HBO;Landbouw en natuurlijke omgeving;2332.00
2018/2019;Provincie;Noord-Brabant;HBO;Onderwijs;7920.00
2018/2019;Provincie;Noord-Brabant;HBO;Sectoroverstijgend;7.00
2018/2019;Provincie;Noord-Brabant;HBO;Taal en cultuur;2054.00
2018/2019;Provincie;Noord-Brabant;HBO;Techniek;16050.00
2018/2019;Provincie;Noord-Brabant;HBO;Totaal energietransitie;16050.00
2018/2019;Provincie;Noord-Brabant;WO;Totaal;28976.00
2018/2019;Provincie;Noord-Brabant;WO;Economie;5770.00
2018/2019;Provincie;Noord-Brabant;WO;Gedrag en maatschappij;4424.00
2018/2019;Provincie;Noord-Brabant;WO;Gezondheidszorg;1780.00
2018/2019;Provincie;Noord-Brabant;WO;Landbouw en natuurlijke omgeving;513.00
2018/2019;Provincie;Noord-Brabant;WO;Natuur;1247.00
2018/2019;Provincie;Noord-Brabant;WO;Onderwijs;143.00
2018/2019;Provincie;Noord-Brabant;WO;Recht;3050.00
2018/2019;Provincie;Noord-Brabant;WO;Sectoroverstijgend;552.00
2018/2019;Provincie;Noord-Brabant;WO;Taal en cultuur;2245.00
2018/2019;Provincie;Noord-Brabant;WO;Techniek;9252.00
2018/2019;Provincie;Noord-Brabant;WO;Totaal energietransitie;10499.00
2018/2019;Provincie;Noord-Holland;Totaal;Totaal;112961.00
2018/2019;Provincie;Noord-Holland;Totaal;Economie;32438.00
2018/2019;Provincie;Noord-Holland;Totaal;Gedrag en maatschappij;17251.00
2018/2019;Provincie;Noord-Holland;Totaal;Gezondheidszorg;13356.00
2018/2019;Provincie;Noord-Holland;Totaal;Landbouw en natuurlijke omgeving;1474.00
2018/2019;Provincie;Noord-Holland;Totaal;Natuur;7947.00
2018/2019;Provincie;Noord-Holland;Totaal;Onderwijs;8581.00
2018/2019;Provincie;Noord-Holland;Totaal;Recht;5064.00
2018/2019;Provincie;Noord-Holland;Totaal;Sectoroverstijgend;2024.00
2018/2019;Provincie;Noord-Holland;Totaal;Taal en cultuur;9529.00
2018/2019;Provincie;Noord-Holland;Totaal;Techniek;15297.00
2018/2019;Provincie;Noord-Holland;Totaal;Totaal energietransitie;23244.00
2018/2019;Provincie;Noord-Holland;HBO;Totaal;64149.00
2018/2019;Provincie;Noord-Holland;HBO;Economie;24962.00
2018/2019;Provincie;Noord-Holland;HBO;Gedrag en maatschappij;7595.00
2018/2019;Provincie;Noord-Holland;HBO;Gezondheidszorg;6064.00
2018/2019;Provincie;Noord-Holland;HBO;Landbouw en natuurlijke omgeving;1004.00
2018/2019;Provincie;Noord-Holland;HBO;Onderwijs;8250.00
2018/2019;Provincie;Noord-Holland;HBO;Sectoroverstijgend;12.00
2018/2019;Provincie;Noord-Holland;HBO;Taal en cultuur;3159.00
2018/2019;Provincie;Noord-Holland;HBO;Techniek;13103.00
2018/2019;Provincie;Noord-Holland;HBO;Totaal energietransitie;13103.00
2018/2019;Provincie;Noord-Holland;WO;Totaal;48812.00
2018/2019;Provincie;Noord-Holland;WO;Economie;7476.00
2018/2019;Provincie;Noord-Holland;WO;Gedrag en maatschappij;9656.00
2018/2019;Provincie;Noord-Holland;WO;Gezondheidszorg;7292.00
2018/2019;Provincie;Noord-Holland;WO;Landbouw en natuurlijke omgeving;470.00
2018/2019;Provincie;Noord-Holland;WO;Natuur;7947.00
2018/2019;Provincie;Noord-Holland;WO;Onderwijs;331.00
2018/2019;Provincie;Noord-Holland;WO;Recht;5064.00
2018/2019;Provincie;Noord-Holland;WO;Sectoroverstijgend;2012.00
2018/2019;Provincie;Noord-Holland;WO;Taal en cultuur;6370.00
2018/2019;Provincie;Noord-Holland;WO;Techniek;2194.00
2018/2019;Provincie;Noord-Holland;WO;Totaal energietransitie;10141.00
2018/2019;Provincie;Overijssel;Totaal;Totaal;44430.00
2018/2019;Provincie;Overijssel;Totaal;Economie;12138.00
2018/2019;Provincie;Overijssel;Totaal;Gedrag en maatschappij;5680.00
2018/2019;Provincie;Overijssel;Totaal;Gezondheidszorg;5481.00
2018/2019;Provincie;Overijssel;Totaal;Landbouw en natuurlijke omgeving;906.00
2018/2019;Provincie;Overijssel;Totaal;Natuur;425.00
2018/2019;Provincie;Overijssel;Totaal;Onderwijs;4668.00
2018/2019;Provincie;Overijssel;Totaal;Recht;652.00
2018/2019;Provincie;Overijssel;Totaal;Sectoroverstijgend;335.00
2018/2019;Provincie;Overijssel;Totaal;Taal en cultuur;1512.00
2018/2019;Provincie;Overijssel;Totaal;Techniek;12633.00
2018/2019;Provincie;Overijssel;Totaal;Totaal energietransitie;13058.00
2018/2019;Provincie;Overijssel;HBO;Totaal;32854.00
2018/2019;Provincie;Overijssel;HBO;Economie;10963.00
2018/2019;Provincie;Overijssel;HBO;Gedrag en maatschappij;4020.00
2018/2019;Provincie;Overijssel;HBO;Gezondheidszorg;4050.00
2018/2019;Provincie;Overijssel;HBO;Landbouw en natuurlijke omgeving;705.00
2018/2019;Provincie;Overijssel;HBO;Onderwijs;4583.00
2018/2019;Provincie;Overijssel;HBO;Sectoroverstijgend;185.00
2018/2019;Provincie;Overijssel;HBO;Taal en cultuur;875.00
2018/2019;Provincie;Overijssel;HBO;Techniek;7473.00
2018/2019;Provincie;Overijssel;HBO;Totaal energietransitie;7473.00
2018/2019;Provincie;Overijssel;WO;Totaal;11576.00
2018/2019;Provincie;Overijssel;WO;Economie;1175.00
2018/2019;Provincie;Overijssel;WO;Gedrag en maatschappij;1660.00
2018/2019;Provincie;Overijssel;WO;Gezondheidszorg;1431.00
2018/2019;Provincie;Overijssel;WO;Landbouw en natuurlijke omgeving;201.00
2018/2019;Provincie;Overijssel;WO;Natuur;425.00
2018/2019;Provincie;Overijssel;WO;Onderwijs;85.00
2018/2019;Provincie;Overijssel;WO;Recht;652.00
2018/2019;Provincie;Overijssel;WO;Sectoroverstijgend;150.00
2018/2019;Provincie;Overijssel;WO;Taal en cultuur;637.00
2018/2019;Provincie;Overijssel;WO;Techniek;5160.00
2018/2019;Provincie;Overijssel;WO;Totaal energietransitie;5585.00
2018/2019;Provincie;Utrecht;Totaal;Totaal;63329.00
2018/2019;Provincie;Utrecht;Totaal;Economie;15586.00
2018/2019;Provincie;Utrecht;Totaal;Gedrag en maatschappij;9567.00
2018/2019;Provincie;Utrecht;Totaal;Gezondheidszorg;8583.00
2018/2019;Provincie;Utrecht;Totaal;Landbouw en natuurlijke omgeving;1385.00
2018/2019;Provincie;Utrecht;Totaal;Natuur;5701.00
2018/2019;Provincie;Utrecht;Totaal;Onderwijs;4901.00
2018/2019;Provincie;Utrecht;Totaal;Recht;2784.00
2018/2019;Provincie;Utrecht;Totaal;Sectoroverstijgend;1260.00
2018/2019;Provincie;Utrecht;Totaal;Taal en cultuur;5227.00
2018/2019;Provincie;Utrecht;Totaal;Techniek;8335.00
2018/2019;Provincie;Utrecht;Totaal;Totaal energietransitie;14036.00
2018/2019;Provincie;Utrecht;HBO;Totaal;34882.00
2018/2019;Provincie;Utrecht;HBO;Economie;13099.00
2018/2019;Provincie;Utrecht;HBO;Gedrag en maatschappij;3891.00
2018/2019;Provincie;Utrecht;HBO;Gezondheidszorg;4028.00
2018/2019;Provincie;Utrecht;HBO;Landbouw en natuurlijke omgeving;594.00
2018/2019;Provincie;Utrecht;HBO;Onderwijs;4679.00
2018/2019;Provincie;Utrecht;HBO;Sectoroverstijgend;14.00
2018/2019;Provincie;Utrecht;HBO;Taal en cultuur;1512.00
2018/2019;Provincie;Utrecht;HBO;Techniek;7065.00
2018/2019;Provincie;Utrecht;HBO;Totaal energietransitie;7065.00
2018/2019;Provincie;Utrecht;WO;Totaal;28447.00
2018/2019;Provincie;Utrecht;WO;Economie;2487.00
2018/2019;Provincie;Utrecht;WO;Gedrag en maatschappij;5676.00
2018/2019;Provincie;Utrecht;WO;Gezondheidszorg;4555.00
2018/2019;Provincie;Utrecht;WO;Landbouw en natuurlijke omgeving;791.00
2018/2019;Provincie;Utrecht;WO;Natuur;5701.00
2018/2019;Provincie;Utrecht;WO;Onderwijs;222.00
2018/2019;Provincie;Utrecht;WO;Recht;2784.00
2018/2019;Provincie;Utrecht;WO;Sectoroverstijgend;1246.00
2018/2019;Provincie;Utrecht;WO;Taal en cultuur;3715.00
2018/2019;Provincie;Utrecht;WO;Techniek;1270.00
2018/2019;Provincie;Utrecht;WO;Totaal energietransitie;6971.00
2018/2019;Provincie;Zeeland;Totaal;Totaal;8391.00
2018/2019;Provincie;Zeeland;Totaal;Economie;2404.00
2018/2019;Provincie;Zeeland;Totaal;Gedrag en maatschappij;1124.00
2018/2019;Provincie;Zeeland;Totaal;Gezondheidszorg;868.00
2018/2019;Provincie;Zeeland;Totaal;Landbouw en natuurlijke omgeving;171.00
2018/2019;Provincie;Zeeland;Totaal;Natuur;74.00
2018/2019;Provincie;Zeeland;Totaal;Onderwijs;856.00
2018/2019;Provincie;Zeeland;Totaal;Recht;147.00
2018/2019;Provincie;Zeeland;Totaal;Sectoroverstijgend;479.00
2018/2019;Provincie;Zeeland;Totaal;Taal en cultuur;158.00
2018/2019;Provincie;Zeeland;Totaal;Techniek;2110.00
2018/2019;Provincie;Zeeland;Totaal;Totaal energietransitie;2184.00
2018/2019;Provincie;Zeeland;HBO;Totaal;6813.00
2018/2019;Provincie;Zeeland;HBO;Economie;2203.00
2018/2019;Provincie;Zeeland;HBO;Gedrag en maatschappij;916.00
2018/2019;Provincie;Zeeland;HBO;Gezondheidszorg;781.00
2018/2019;Provincie;Zeeland;HBO;Landbouw en natuurlijke omgeving;116.00
2018/2019;Provincie;Zeeland;HBO;Onderwijs;851.00
2018/2019;Provincie;Zeeland;HBO;Taal en cultuur;42.00
2018/2019;Provincie;Zeeland;HBO;Techniek;1904.00
2018/2019;Provincie;Zeeland;HBO;Totaal energietransitie;1904.00
2018/2019;Provincie;Zeeland;WO;Totaal;1578.00
2018/2019;Provincie;Zeeland;WO;Economie;201.00
2018/2019;Provincie;Zeeland;WO;Gedrag en maatschappij;208.00
2018/2019;Provincie;Zeeland;WO;Gezondheidszorg;87.00
2018/2019;Provincie;Zeeland;WO;Landbouw en natuurlijke omgeving;55.00
2018/2019;Provincie;Zeeland;WO;Natuur;74.00
2018/2019;Provincie;Zeeland;WO;Onderwijs;5.00
2018/2019;Provincie;Zeeland;WO;Recht;147.00
2018/2019;Provincie;Zeeland;WO;Sectoroverstijgend;479.00
2018/2019;Provincie;Zeeland;WO;Taal en cultuur;116.00
